,Name,Ability,Ability Description,Extra Ability,Extra Ability Description,Hidden Ability,Hidden Ability Description
616,Shelmet,Hydration,Heals status problems if it is raining.,Shell Armor,The Pokémon is protected against critical hits.,Overcoat,Protects the Pokémon from weather damage.
617,Accelgor,Hydration,Heals status problems if it is raining.,Sticky Hold,Protects the Pokémon from item theft.,Unburden,Raises Speed if a held item is used.
618,Stunfisk,Static,Contact with the Pokémon may cause paralysis.,Limber,The Pokémon is protected from paralysis.,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
619,Mienfoo,Inner Focus,The Pokémon is protected from flinching.,Regenerator,Restores a little HP when withdrawn from battle.,Reckless,Powers up moves that have recoil damage.
620,Mienshao,Inner Focus,The Pokémon is protected from flinching.,Regenerator,Restores a little HP when withdrawn from battle.,Reckless,Powers up moves that have recoil damage.
621,Druddigon,Rough Skin,Inflicts damage to the attacker on contact.,Sheer Force,Removes added effects to increase move damage.,Mold Breaker,Moves can be used regardless of Abilities.
622,Golett,Iron Fist,Boosts the power of punching moves.,Klutz,The Pokémon can't use any held items.,No Guard,Ensures attacks by or against the Pokémon land.
623,Golurk,Iron Fist,Boosts the power of punching moves.,Klutz,The Pokémon can't use any held items.,No Guard,Ensures attacks by or against the Pokémon land.
624,Pawniard,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.,Inner Focus,The Pokémon is protected from flinching.,Pressure,The Pokémon raises the foe's PP usage.
625,Bisharp,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.,Inner Focus,The Pokémon is protected from flinching.,Pressure,The Pokémon raises the foe's PP usage.
626,Bouffalant,Reckless,Powers up moves that have recoil damage.,Sap Sipper,Boosts Attack when hit by a Grass-type move.,Soundproof,Gives immunity to sound-based moves.
627,Rufflet,Keen Eye,Prevents other Pokémon from lowering accuracy.,Sheer Force,Removes added effects to increase move damage.,Hustle,"Boosts the Attack stat, but lowers accuracy."
628,Braviary,Keen Eye,Prevents other Pokémon from lowering accuracy.,Sheer Force,Removes added effects to increase move damage.,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
629,Vullaby,Big Pecks,Protects the Pokémon from Defense-lowering attacks.,Overcoat,Protects the Pokémon from weather damage.,Weak Armor,Physical attacks lower Defense and raise Speed.
630,Mandibuzz,Big Pecks,Protects the Pokémon from Defense-lowering attacks.,Overcoat,Protects the Pokémon from weather damage.,Weak Armor,Physical attacks lower Defense and raise Speed.
631,Heatmor,Gluttony,Encourages the early use of a held Berry.,Flash Fire,It powers up Fire-type moves if it's hit by one.,White Smoke,Prevents other Pokémon from lowering its stats.
632,Durant,Swarm,Powers up Bug-type moves in a pinch.,Hustle,"Boosts the Attack stat, but lowers accuracy.",Truant,Pokémon can't attack on consecutive turns.
633,Deino,Hustle,"Boosts the Attack stat, but lowers accuracy.",,,,
634,Zweilous,Hustle,"Boosts the Attack stat, but lowers accuracy.",,,,
635,Hydreigon,Levitate,Gives immunity to Ground type moves.,,,,
636,Larvesta,Flame Body,Contact with the Pokémon may burn the attacker.,,,Swarm,Powers up Bug-type moves in a pinch.
637,Volcarona,Flame Body,Contact with the Pokémon may burn the attacker.,,,Swarm,Powers up Bug-type moves in a pinch.
638,Cobalion,Justified,Raises Attack when hit by a Dark-type move.,,,,
639,Terrakion,Justified,Raises Attack when hit by a Dark-type move.,,,,
640,Virizion,Justified,Raises Attack when hit by a Dark-type move.,,,,
641,Tornadus,Prankster,Gives priority to a status move.,,,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
642,Thundurus,Prankster,Gives priority to a status move.,,,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
643,Reshiram,Turboblaze,Moves can be used regardless of Abilities.,,,,
644,Zekrom,Teravolt,Moves can be used regardless of Abilities.,,,,
645,Landorus,Sand Force,Boosts certain moves' power in a sandstorm.,,,Sheer Force,Removes added effects to increase move damage.
646,Kyurem,Pressure,The Pokémon raises the foe's PP usage.,,,,
647,Keldeo,Justified,Raises Attack when hit by a Dark-type move.,,,,
648,Meloetta,Serene Grace,Boosts the likelihood of added effects appearing.,,,,
649,Genesect,Download,Adjusts power according to a foe's defenses.,,,,
650,Chespin,Overgrow,Powers up Grass-type moves in a pinch.,,,Bulletproof,Protects the Pokémon from ball and bomb moves.
651,Quilladin,Overgrow,Powers up Grass-type moves in a pinch.,,,Bulletproof,Protects the Pokémon from ball and bomb moves.
652,Chesnaught,Overgrow,Powers up Grass-type moves in a pinch.,,,Bulletproof,Protects the Pokémon from ball and bomb moves.
653,Fennekin,Blaze,Powers up Fire-type moves in a pinch.,,,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.
654,Braixen,Blaze,Powers up Fire-type moves in a pinch.,,,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.
655,Delphox,Blaze,Powers up Fire-type moves in a pinch.,,,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.
656,Froakie,Torrent,Powers up Water-type moves in a pinch.,,,Protean,Changes the Pokémon's type to its last used move.
657,Frogadier,Torrent,Powers up Water-type moves in a pinch.,,,Protean,Changes the Pokémon's type to its last used move.
658,Greninja,Torrent,Powers up Water-type moves in a pinch.,,,Protean,Changes the Pokémon's type to its last used move.
659,Bunnelby,Pickup,The Pokémon may pick up items.,Cheek Pouch,Restores additional HP when a Berry is consumed.,Huge Power,Raises the Pokémon's Attack stat.
660,Diggersby,Pickup,The Pokémon may pick up items.,Cheek Pouch,Restores additional HP when a Berry is consumed.,Huge Power,Raises the Pokémon's Attack stat.
661,Fletchling,Big Pecks,Protects the Pokémon from Defense-lowering attacks.,,,Gale Wings,Gives priority to Flying-type moves.
662,Fletchinder,Flame Body,Contact with the Pokémon may burn the attacker.,,,Gale Wings,Gives priority to Flying-type moves.
663,Talonflame,Flame Body,Contact with the Pokémon may burn the attacker.,,,Gale Wings,Gives priority to Flying-type moves.
664,Scatterbug,Shield Dust,Blocks the added effects of attacks taken.,Compound Eyes,The Pokémon's accuracy is boosted.,Friend Guard,Reduces damage done to allies.
665,Spewpa,Shed Skin,The Pokémon may heal its own status problems.,,,Friend Guard,Reduces damage done to allies.
666,Vivillon,Shield Dust,Blocks the added effects of attacks taken.,,,Friend Guard,Reduces damage done to allies.
667,Litleo,Rivalry,Deals more damage to a Pokémon of same gender.,Unnerve,Makes the foe nervous and unable to eat Berries.,Moxie,Boosts Attack after knocking out any Pokémon.
668,Pyroar,Rivalry,Deals more damage to a Pokémon of same gender.,Unnerve,Makes the foe nervous and unable to eat Berries.,Moxie,Boosts Attack after knocking out any Pokémon.
669,Flabébé,Flower Veil,Prevents lowering of ally Grass-type Pokémon's stats.,,,Symbiosis,The Pokémon can pass an item to an ally.
670,Floette,Flower Veil,Prevents lowering of ally Grass-type Pokémon's stats.,,,Symbiosis,The Pokémon can pass an item to an ally.
671,Florges,Flower Veil,Prevents lowering of ally Grass-type Pokémon's stats.,,,Symbiosis,The Pokémon can pass an item to an ally.
672,Skiddo,Sap Sipper,Boosts Attack when hit by a Grass-type move.,,,Grass Pelt,Boosts the Defense stat in Grassy Terrain.
673,Gogoat,Sap Sipper,Boosts Attack when hit by a Grass-type move.,,,Grass Pelt,Boosts the Defense stat in Grassy Terrain.
674,Pancham,Iron Fist,Boosts the power of punching moves.,Mold Breaker,Moves can be used regardless of Abilities.,Scrappy,Enables moves to hit Ghost-type Pokémon.
675,Pangoro,Iron Fist,Boosts the power of punching moves.,Mold Breaker,Moves can be used regardless of Abilities.,Scrappy,Enables moves to hit Ghost-type Pokémon.
676,Furfrou,Fur Coat,Reduces damage from physical moves.,,,,
677,Espurr,Keen Eye,Prevents other Pokémon from lowering accuracy.,Infiltrator,Passes through the foe's barrier and strikes.,Own Tempo,Prevents the Pokémon from becoming confused.
678,Meowstic,Keen Eye,Prevents other Pokémon from lowering accuracy.,Infiltrator,Passes through the foe's barrier and strikes.,Prankster,Gives priority to a status move.
679,Honedge,No Guard,Ensures attacks by or against the Pokémon land.,,,,
680,Doublade,No Guard,Ensures attacks by or against the Pokémon land.,,,,
681,Aegislash,Stance Change,Changes form depending on moves used.,,,,
682,Spritzee,Healer,May heal an ally's status conditions.,,,Aroma Veil,Protects allies from attacks that limit their move choices.
683,Aromatisse,Healer,May heal an ally's status conditions.,,,Aroma Veil,Protects allies from attacks that limit their move choices.
684,Swirlix,Sweet Veil,Prevents the Pokémon and allies from falling asleep.,,,Unburden,Raises Speed if a held item is used.
685,Slurpuff,Sweet Veil,Prevents the Pokémon and allies from falling asleep.,,,Unburden,Raises Speed if a held item is used.
686,Inkay,Contrary,Makes stat changes have an opposite effect.,Suction Cups,Negates all moves that force switching out.,Infiltrator,Passes through the foe's barrier and strikes.
687,Malamar,Contrary,Makes stat changes have an opposite effect.,Suction Cups,Negates all moves that force switching out.,Infiltrator,Passes through the foe's barrier and strikes.
688,Binacle,Sniper,Powers up moves if they become critical hits.,Tough Claws,Boosts the power of contact moves.,Pickpocket,Steals an item when hit by another Pokémon.
689,Barbaracle,Sniper,Powers up moves if they become critical hits.,Tough Claws,Boosts the power of contact moves.,Pickpocket,Steals an item when hit by another Pokémon.
690,Skrelp,Poison Point,Contact with the Pokémon may poison the attacker.,Poison Touch,May poison targets when a Pokémon makes contact.,Adaptability,Powers up moves of the same type.
691,Dragalge,Poison Point,Contact with the Pokémon may poison the attacker.,Poison Touch,May poison targets when a Pokémon makes contact.,Adaptability,Powers up moves of the same type.
692,Clauncher,Mega Launcher,Boosts the power of aura and pulse moves.,,,,
693,Clawitzer,Mega Launcher,Boosts the power of aura and pulse moves.,,,,
694,Helioptile,Dry Skin,Reduces HP if it is hot. Water restores HP.,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases."
695,Heliolisk,Dry Skin,Reduces HP if it is hot. Water restores HP.,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.,Solar Power,"In sunshine, Sp. Atk is boosted but HP decreases."
696,Tyrunt,Strong Jaw,Boosts the power of biting moves.,,,Sturdy,It cannot be knocked out with one hit.
697,Tyrantrum,Strong Jaw,Boosts the power of biting moves.,,,Rock Head,Protects the Pokémon from recoil damage.
698,Amaura,Refrigerate,Turns Normal-type moves into Ice-type moves.,,,Snow Warning,The Pokémon summons a hailstorm in battle.
699,Aurorus,Refrigerate,Turns Normal-type moves into Ice-type moves.,,,Snow Warning,The Pokémon summons a hailstorm in battle.
700,Sylveon,Cute Charm,Contact with the Pokémon may cause infatuation.,,,Pixilate,Turns Normal-type moves into Fairy-type moves.
701,Hawlucha,Limber,The Pokémon is protected from paralysis.,Unburden,Raises Speed if a held item is used.,Mold Breaker,Moves can be used regardless of Abilities.
702,Dedenne,Cheek Pouch,Restores additional HP when a Berry is consumed.,Pickup,The Pokémon may pick up items.,Plus,Ups Sp. Atk if another Pokémon has Plus or Minus.
703,Carbink,Clear Body,Prevents other Pokémon from lowering its stats.,,,Sturdy,It cannot be knocked out with one hit.
704,Goomy,Sap Sipper,Boosts Attack when hit by a Grass-type move.,Hydration,Heals status problems if it is raining.,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.
705,Sliggoo,Sap Sipper,Boosts Attack when hit by a Grass-type move.,Hydration,Heals status problems if it is raining.,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.
706,Goodra,Sap Sipper,Boosts Attack when hit by a Grass-type move.,Hydration,Heals status problems if it is raining.,Gooey,Contact with the Pokémon lowers the attacker's Speed stat.
707,Klefki,Prankster,Gives priority to a status move.,,,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.
708,Phantump,Natural Cure,All status problems heal when it switches out.,Frisk,The Pokémon can check a foe's held item.,Harvest,May create another Berry after one is used.
709,Trevenant,Natural Cure,All status problems heal when it switches out.,Frisk,The Pokémon can check a foe's held item.,Harvest,May create another Berry after one is used.
710,Pumpkaboo,Pickup,The Pokémon may pick up items.,Frisk,The Pokémon can check a foe's held item.,Insomnia,Prevents the Pokémon from falling asleep.
711,Gourgeist,Pickup,The Pokémon may pick up items.,Frisk,The Pokémon can check a foe's held item.,Insomnia,Prevents the Pokémon from falling asleep.
712,Bergmite,Own Tempo,Prevents the Pokémon from becoming confused.,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Sturdy,It cannot be knocked out with one hit.
713,Avalugg,Own Tempo,Prevents the Pokémon from becoming confused.,Ice Body,The Pokémon gradually regains HP in a hailstorm.,Sturdy,It cannot be knocked out with one hit.
714,Noibat,Frisk,The Pokémon can check a foe's held item.,Infiltrator,Passes through the foe's barrier and strikes.,Telepathy,Anticipates an ally's attack and dodges it.
715,Noivern,Frisk,The Pokémon can check a foe's held item.,Infiltrator,Passes through the foe's barrier and strikes.,Telepathy,Anticipates an ally's attack and dodges it.
716,Xerneas,Fairy Aura,Raises power of Fairy type moves for all Pokémon in battle.,,,,
717,Yveltal,Dark Aura,Raises power of Dark type moves for all Pokémon in battle.,,,,
718,Zygarde,Aura Break,Reduces power of Dark- and Fairy-type moves.,Power Construct,Changes form when HP drops below half.,,
719,Diancie,Clear Body,Prevents other Pokémon from lowering its stats.,,,,
720,Hoopa,Magician,The Pokémon steals the held item of a Pokémon it hits with a move.,,,,
721,Volcanion,Water Absorb,Restores HP if hit by a Water-type move.,,,,
722,Rowlet,Overgrow,Powers up Grass-type moves in a pinch.,,,Long Reach,The Pokémon uses its moves without making contact with the target.
723,Dartrix,Overgrow,Powers up Grass-type moves in a pinch.,,,Long Reach,The Pokémon uses its moves without making contact with the target.
724,Decidueye,Overgrow,Powers up Grass-type moves in a pinch.,,,Long Reach,The Pokémon uses its moves without making contact with the target.
725,Litten,Blaze,Powers up Fire-type moves in a pinch.,,,Intimidate,Lowers the foe's Attack stat.
726,Torracat,Blaze,Powers up Fire-type moves in a pinch.,,,Intimidate,Lowers the foe's Attack stat.
727,Incineroar,Blaze,Powers up Fire-type moves in a pinch.,,,Intimidate,Lowers the foe's Attack stat.
728,Popplio,Torrent,Powers up Water-type moves in a pinch.,,,Liquid Voice,All sound-based moves become Water-type moves.
729,Brionne,Torrent,Powers up Water-type moves in a pinch.,,,Liquid Voice,All sound-based moves become Water-type moves.
730,Primarina,Torrent,Powers up Water-type moves in a pinch.,,,Liquid Voice,All sound-based moves become Water-type moves.
731,Pikipek,Keen Eye,Prevents other Pokémon from lowering accuracy.,Skill Link,Increases the frequency of multi-strike moves.,Pickup,The Pokémon may pick up items.
732,Trumbeak,Keen Eye,Prevents other Pokémon from lowering accuracy.,Skill Link,Increases the frequency of multi-strike moves.,Pickup,The Pokémon may pick up items.
733,Toucannon,Keen Eye,Prevents other Pokémon from lowering accuracy.,Skill Link,Increases the frequency of multi-strike moves.,Sheer Force,Removes added effects to increase move damage.
734,Yungoos,Strong Jaw,Boosts the power of biting moves.,Stakeout,Deals double damage to Pokémon switching in.,Adaptability,Powers up moves of the same type.
735,Gumshoos,Strong Jaw,Boosts the power of biting moves.,Stakeout,Deals double damage to Pokémon switching in.,Adaptability,Powers up moves of the same type.
736,Grubbin,Swarm,Powers up Bug-type moves in a pinch.,,,,
737,Charjabug,Battery,Raises power of teammates' Special moves.,,,,
738,Vikavolt,Levitate,Gives immunity to Ground type moves.,,,,
739,Crabrawler,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Iron Fist,Boosts the power of punching moves.,Anger Point,Maxes Attack after taking a critical hit.
740,Crabominable,Hyper Cutter,Prevents other Pokémon from lowering Attack stat.,Iron Fist,Boosts the power of punching moves.,Anger Point,Maxes Attack after taking a critical hit.
741,Oricorio,Dancer,Copies the foe's Dance moves.,,,,
742,Cutiefly,Honey Gather,The Pokémon may gather Honey from somewhere.,Shield Dust,Blocks the added effects of attacks taken.,Sweet Veil,Prevents the Pokémon and allies from falling asleep.
743,Ribombee,Honey Gather,The Pokémon may gather Honey from somewhere.,Shield Dust,Blocks the added effects of attacks taken.,Sweet Veil,Prevents the Pokémon and allies from falling asleep.
744,Rockruff,Keen Eye,Prevents other Pokémon from lowering accuracy.,Vital Spirit,Prevents the Pokémon from falling asleep.,Steadfast,Raises Speed each time the Pokémon flinches.
745,Lycanroc,Keen Eye,Prevents other Pokémon from lowering accuracy.,Sand Rush,Boosts the Pokémon's Speed in a sandstorm.,Steadfast,Raises Speed each time the Pokémon flinches.
746,Wishiwashi,Schooling,Changes Wishiwashi to School Form.,,,,
747,Mareanie,Merciless,The Pokémon's attacks become critical hits if the target is poisoned.,Limber,The Pokémon is protected from paralysis.,Regenerator,Restores a little HP when withdrawn from battle.
748,Toxapex,Merciless,The Pokémon's attacks become critical hits if the target is poisoned.,Limber,The Pokémon is protected from paralysis.,Regenerator,Restores a little HP when withdrawn from battle.
749,Mudbray,Own Tempo,Prevents the Pokémon from becoming confused.,Stamina,Raises Defense when attacked.,Inner Focus,The Pokémon is protected from flinching.
750,Mudsdale,Own Tempo,Prevents the Pokémon from becoming confused.,Stamina,Raises Defense when attacked.,Inner Focus,The Pokémon is protected from flinching.
751,Dewpider,Water Bubble,"Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns.",,,Water Absorb,Restores HP if hit by a Water-type move.
752,Araquanid,Water Bubble,"Halves damage from Fire-type moves, doubles power of Water-type moves used, and prevents burns.",,,Water Absorb,Restores HP if hit by a Water-type move.
753,Fomantis,Leaf Guard,Prevents problems with status in sunny weather.,,,Contrary,Makes stat changes have an opposite effect.
754,Lurantis,Leaf Guard,Prevents problems with status in sunny weather.,,,Contrary,Makes stat changes have an opposite effect.
755,Morelull,Illuminate,Raises the likelihood of meeting wild Pokémon.,Effect Spore,Contact may poison or cause paralysis or sleep.,Rain Dish,The Pokémon gradually regains HP in rain.
756,Shiinotic,Illuminate,Raises the likelihood of meeting wild Pokémon.,Effect Spore,Contact may poison or cause paralysis or sleep.,Rain Dish,The Pokémon gradually regains HP in rain.
757,Salandit,Corrosion,The Pokémon can poison Steel and Poison types.,,,Oblivious,Prevents it from becoming infatuated.
758,Salazzle,Corrosion,The Pokémon can poison Steel and Poison types.,,,Oblivious,Prevents it from becoming infatuated.
759,Stufful,Fluffy,"Halves damage from contact moves, but doubles damage from Fire-type moves.",Klutz,The Pokémon can't use any held items.,Cute Charm,Contact with the Pokémon may cause infatuation.
760,Bewear,Fluffy,"Halves damage from contact moves, but doubles damage from Fire-type moves.",Klutz,The Pokémon can't use any held items.,Unnerve,Makes the foe nervous and unable to eat Berries.
761,Bounsweet,Leaf Guard,Prevents problems with status in sunny weather.,Oblivious,Prevents it from becoming infatuated.,Sweet Veil,Prevents the Pokémon and allies from falling asleep.
762,Steenee,Leaf Guard,Prevents problems with status in sunny weather.,Oblivious,Prevents it from becoming infatuated.,Sweet Veil,Prevents the Pokémon and allies from falling asleep.
763,Tsareena,Leaf Guard,Prevents problems with status in sunny weather.,Queenly Majesty,Prevents use of priority moves.,Sweet Veil,Prevents the Pokémon and allies from falling asleep.
764,Comfey,Flower Veil,Prevents lowering of ally Grass-type Pokémon's stats.,Triage,Gives priority to restorative moves.,Natural Cure,All status problems heal when it switches out.
765,Oranguru,Inner Focus,The Pokémon is protected from flinching.,Telepathy,Anticipates an ally's attack and dodges it.,Symbiosis,The Pokémon can pass an item to an ally.
766,Passimian,Receiver,Inherits an ally's ability when it faints.,,,Defiant,Sharply raises Attack when the Pokémon's stats are lowered.
767,Wimpod,Wimp Out,Switches out when HP drops below half.,,,,
768,Golisopod,Emergency Exit,Switches out when HP falls below 50%.,,,,
769,Sandygast,Water Compaction,Sharply raises Defense when hit by a Water-type move.,,,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
770,Palossand,Water Compaction,Sharply raises Defense when hit by a Water-type move.,,,Sand Veil,Boosts the Pokémon's evasion in a sandstorm.
771,Pyukumuku,Innards Out,Deals damage upon fainting.,,,Unaware,Ignores any stat changes in the Pokémon.
772,Type: Null,Battle Armor,The Pokémon is protected against critical hits.,,,,
773,Silvally,RKS System,Changes type depending on held item.,,,,
774,Minior,Shields Down,Changes stats when HP drops below half.,,,,
775,Komala,Comatose,The Pokémon is always asleep but can still attack.,,,,
776,Turtonator,Shell Armor,The Pokémon is protected against critical hits.,,,,
777,Togedemaru,Iron Barbs,Inflicts damage to the Pokémon on contact.,Lightning Rod,Draws in all Electric-type moves to up Sp. Attack.,Sturdy,It cannot be knocked out with one hit.
778,Mimikyu,Disguise,Avoids damage for one turn.,,,,
779,Bruxish,Dazzling,Protects the Pokémon from high-priority moves.,Strong Jaw,Boosts the power of biting moves.,Wonder Skin,Makes status-changing moves more likely to miss.
780,Drampa,Berserk,Raises Special Attack when HP drops below half.,Sap Sipper,Boosts Attack when hit by a Grass-type move.,Cloud Nine,Eliminates the effects of weather.
781,Dhelmise,Steelworker,Powers up Steel-type moves.,,,,
782,Jangmo-o,Bulletproof,Protects the Pokémon from ball and bomb moves.,Soundproof,Gives immunity to sound-based moves.,Overcoat,Protects the Pokémon from weather damage.
783,Hakamo-o,Bulletproof,Protects the Pokémon from ball and bomb moves.,Soundproof,Gives immunity to sound-based moves.,Overcoat,Protects the Pokémon from weather damage.
784,Kommo-o,Bulletproof,Protects the Pokémon from ball and bomb moves.,Soundproof,Gives immunity to sound-based moves.,Overcoat,Protects the Pokémon from weather damage.
785,Tapu Koko,Electric Surge,The Pokémon creates an Electric Terrain when it enters a battle.,,,Telepathy,Anticipates an ally's attack and dodges it.
786,Tapu Lele,Psychic Surge,The Pokémon creates a Psychic Terrain when it enters a battle.,,,Telepathy,Anticipates an ally's attack and dodges it.
787,Tapu Bulu,Grassy Surge,The Pokémon creates a Grassy Terrain when it enters a battle.,,,Telepathy,Anticipates an ally's attack and dodges it.
788,Tapu Fini,Misty Surge,The Pokémon creates a Misty Terrain when it enters a battle.,,,Telepathy,Anticipates an ally's attack and dodges it.
789,Cosmog,Unaware,Ignores any stat changes in the Pokémon.,,,,
790,Cosmoem,Sturdy,It cannot be knocked out with one hit.,,,,
791,Solgaleo,Full Metal Body,Prevents other Pokémon from lowering its stats.,,,,
792,Lunala,Shadow Shield,Reduces damage when HP is full.,,,,
793,Nihilego,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
794,Buzzwole,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
795,Pheromosa,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
796,Xurkitree,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
797,Celesteela,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
798,Kartana,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
799,Guzzlord,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
800,Necrozma,Prism Armor,Reduces damage from super-effective attacks.,,,,
801,Magearna,Soul-Heart,Raises Special Attack when an ally faints.,,,,
802,Marshadow,Technician,Powers up the Pokémon's weaker moves.,,,,
803,Poipole,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
804,Naganadel,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
805,Stakataka,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
806,Blacephalon,Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,,,,
807,Zeraora,Volt Absorb,Restores HP if hit by an Electric-type move.,,,,
808,Meltan,Magnet Pull,Prevents Steel-type Pokémon from escaping.,,,,
809,Melmetal,Iron Fist,Boosts the power of punching moves.,,,,
810,Grookey,Overgrow,Powers up Grass-type moves in a pinch.,,,Grassy Surge,The Pokémon creates a Grassy Terrain when it enters a battle.
811,Thwackey,Overgrow,Powers up Grass-type moves in a pinch.,,,Grassy Surge,The Pokémon creates a Grassy Terrain when it enters a battle.
812,Rillaboom,Overgrow,Powers up Grass-type moves in a pinch.,,,Grassy Surge,The Pokémon creates a Grassy Terrain when it enters a battle.
813,Scorbunny,Blaze,Powers up Fire-type moves in a pinch.,,,Libero,Changes the Pokémon's type to its last used move.
814,Raboot,Blaze,Powers up Fire-type moves in a pinch.,,,Libero,Changes the Pokémon's type to its last used move.
815,Cinderace,Blaze,Powers up Fire-type moves in a pinch.,,,Libero,Changes the Pokémon's type to its last used move.
816,Sobble,Torrent,Powers up Water-type moves in a pinch.,,,Sniper,Powers up moves if they become critical hits.
817,Drizzile,Torrent,Powers up Water-type moves in a pinch.,,,Sniper,Powers up moves if they become critical hits.
818,Inteleon,Torrent,Powers up Water-type moves in a pinch.,,,Sniper,Powers up moves if they become critical hits.
819,Skwovet,Cheek Pouch,Restores additional HP when a Berry is consumed.,,,Gluttony,Encourages the early use of a held Berry.
820,Greedent,Cheek Pouch,Restores additional HP when a Berry is consumed.,,,Gluttony,Encourages the early use of a held Berry.
821,Rookidee,Keen Eye,Prevents other Pokémon from lowering accuracy.,Unnerve,Makes the foe nervous and unable to eat Berries.,Big Pecks,Protects the Pokémon from Defense-lowering attacks.
822,Corvisquire,Keen Eye,Prevents other Pokémon from lowering accuracy.,Unnerve,Makes the foe nervous and unable to eat Berries.,Big Pecks,Protects the Pokémon from Defense-lowering attacks.
823,Corviknight,Pressure,The Pokémon raises the foe's PP usage.,Unnerve,Makes the foe nervous and unable to eat Berries.,Mirror Armor,Reflects any stat-lowering effects.
824,Blipbug,Swarm,Powers up Bug-type moves in a pinch.,Compound Eyes,The Pokémon's accuracy is boosted.,Telepathy,Anticipates an ally's attack and dodges it.
825,Dottler,Swarm,Powers up Bug-type moves in a pinch.,Compound Eyes,The Pokémon's accuracy is boosted.,Telepathy,Anticipates an ally's attack and dodges it.
826,Orbeetle,Swarm,Powers up Bug-type moves in a pinch.,Frisk,The Pokémon can check a foe's held item.,Telepathy,Anticipates an ally's attack and dodges it.
827,Nickit,Run Away,Enables a sure getaway from wild Pokémon.,Unburden,Raises Speed if a held item is used.,Stakeout,Deals double damage to Pokémon switching in.
828,Thievul,Run Away,Enables a sure getaway from wild Pokémon.,Unburden,Raises Speed if a held item is used.,Stakeout,Deals double damage to Pokémon switching in.
829,Gossifleur,Cotton Down,Lowers foe's Speed when hit.,Regenerator,Restores a little HP when withdrawn from battle.,Effect Spore,Contact may poison or cause paralysis or sleep.
830,Eldegoss,Cotton Down,Lowers foe's Speed when hit.,Regenerator,Restores a little HP when withdrawn from battle.,Effect Spore,Contact may poison or cause paralysis or sleep.
831,Wooloo,Fluffy,"Halves damage from contact moves, but doubles damage from Fire-type moves.",Run Away,Enables a sure getaway from wild Pokémon.,Bulletproof,Protects the Pokémon from ball and bomb moves.
832,Dubwool,Fluffy,"Halves damage from contact moves, but doubles damage from Fire-type moves.",Steadfast,Raises Speed each time the Pokémon flinches.,Bulletproof,Protects the Pokémon from ball and bomb moves.
833,Chewtle,Strong Jaw,Boosts the power of biting moves.,Shell Armor,The Pokémon is protected against critical hits.,Swift Swim,Boosts the Pokémon's Speed in rain.
834,Drednaw,Strong Jaw,Boosts the power of biting moves.,Shell Armor,The Pokémon is protected against critical hits.,Swift Swim,Boosts the Pokémon's Speed in rain.
835,Yamper,Ball Fetch,Retrieves a Poké Ball from a failed throw.,,,Rattled,"Bug, Ghost or Dark type moves scare it and boost its Speed."
836,Boltund,Strong Jaw,Boosts the power of biting moves.,,,Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.
837,Rolycoly,Steam Engine,Drastically raises Speed when hit by a Fire- or Water-type move.,Heatproof,Weakens the power of Fire-type moves.,Flash Fire,It powers up Fire-type moves if it's hit by one.
838,Carkol,Steam Engine,Drastically raises Speed when hit by a Fire- or Water-type move.,Flame Body,Contact with the Pokémon may burn the attacker.,Flash Fire,It powers up Fire-type moves if it's hit by one.
